loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
343,12,3,0,7,46,0,1,7,12,0.613636364,1.0,0,0.592592593,0.208333333,2,2,27.25,7,1.75,1
479,27,2,0,13,80,193,3,13,21,0.814102564,1.0,0,0.6790123459999999,0.18148148100000006,1,6,16.51851852,2,1.037,1
9,2,4,1,2,4,1,1,1,1,2.0,0.0,0,0.857142857,0.666666667,1,1,3.5,1,0.5,0
110,5,2,1,7,13,0,2,5,4,0.4375,0.5,1,0.25,0.5,0,0,20.2,4,1.6,0
122,4,3,2,4,8,4,2,2,2,0.857142857,1.0,0,0.5,0.583333333,0,0,27.75,1,0.75,0
440,11,2,0,8,28,15,2,7,7,0.644444444,1.0,3,0.444444444,0.287878788,1,3,38.18181818,2,1.1818,1
373,7,2,0,6,30,1,1,5,7,0.0,1.0,0,0.14285714300000002,0.314285714,1,1,51.57142857,12,3.5714,0
498,16,2,0,15,55,98,1,14,4,0.833333333,0.75,2,0.44,0.296296296,1,3,29.875,7,1.5625,1
675,15,1,0,13,54,41,2,11,10,0.804761905,0.533333333,5,0.0,0.237037037,0,0,43.0,3,1.2,0
178,3,3,0,3,16,3,0,3,3,2.0,0.0,0,0.6,0.444444444,0,0,58.33333333,3,1.3333,1
1,1,1,0,21,1,0,20,1,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1
98,3,3,0,5,17,1,1,4,2,0.5,1.0,0,0.75,0.75,0,0,31.0,1,0.3333,0
656,13,3,0,11,23,58,0,11,11,0.960526316,0.578947368,0,0.476190476,0.21969697,0,0,48.0,1,0.8462,0
106,7,3,0,5,13,15,2,3,7,0.333333333,1.0,0,0.5,0.514285714,0,0,13.85714286,3,0.7143,0
5,2,1,6,21,3,1,21,0,2,2.0,0.0,0,0.0,0.666666667,0,0,1.5,1,0.5,0
57,6,2,0,6,14,15,2,5,5,2.0,0.0,0,0.705882353,0.333333333,2,3,8.5,3,1.1667,1
420,12,1,1,11,23,16,2,10,8,0.670454545,0.875,4,0.0,0.197916667,0,0,32.66666667,1,0.9167,1
94,5,1,0,5,12,0,4,1,0,0.583333333,0.0,2,0.0,0.533333333,0,0,16.6,1,0.8,1
173,6,2,0,12,12,1,1,11,6,0.64,1.0,6,0.921568627,0.35,0,0,26.16666667,6,1.5,0
197,7,2,0,6,13,0,1,5,6,0.5,0.5,0,0.666666667,0.333333333,0,0,26.85714286,1,0.1429,0
342,13,2,2,9,34,0,2,7,6,0.6759259259999999,1.0,4,0.4,0.21978022,1,3,24.61538462,3,1.1538,1
106,2,3,0,8,11,0,2,6,0,0.0,1.0,0,0.952380952,0.571428571,1,1,51.5,1,0.5,1
147,6,2,0,9,28,0,1,8,6,0.0,1.0,1,0.705882353,0.333333333,2,3,23.33333333,4,1.5,0
16,3,2,0,5,6,3,1,4,2,2.0,0.0,0,0.833333333,0.5,1,1,4.333333333,1,0.6667,0
189,14,1,1,18,17,91,18,0,14,2.0,0.0,0,0.0,0.297619048,0,0,12.5,1,0.9286,1
15,4,1,0,11,6,6,10,3,3,1.0,0.0,2,0.0,0.833333333,0,0,2.25,1,0.75,0
17,3,2,3,4,5,1,3,1,1,0.5,1.0,0,0.666666667,0.666666667,0,0,4.333333333,1,0.3333,0
224,14,1,3,24,17,89,24,0,14,0.923076923,1.0,0,0.0,0.271428571,0,0,14.92857143,1,0.9286,0
437,19,1,0,18,51,145,12,6,15,0.920634921,0.28571428600000004,0,0.0,0.257309942,0,0,21.63157895,7,1.4737,1
340,9,2,0,9,32,0,1,8,9,0.291666667,1.0,2,0.6,0.259259259,2,3,36.44444444,11,3.0,0
61,2,3,0,8,8,1,2,6,0,2.0,0.0,0,0.952380952,0.583333333,1,1,29.5,1,0.5,1
16,2,2,0,4,3,1,3,1,2,1.0,0.0,0,0.0,0.875,0,0,6.5,0,0.0,0
13,2,2,6,7,4,0,6,1,1,0.0,1.0,1,0.666666667,0.75,0,0,5.0,1,0.5,0
764,14,1,0,12,51,67,1,12,8,0.641025641,0.666666667,2,0.0,0.4017094020000001,0,0,53.35714286,2,1.1429,1
67,7,2,0,8,15,0,0,8,6,0.5,0.5,0,0.666666667,0.333333333,0,0,8.285714286000001,1,0.1429,0
157,14,2,0,19,32,1,3,17,13,0.346153846,0.5,1,0.6875,0.202380952,1,3,10.07142857,1,0.7143,1
246,14,2,0,10,38,43,3,7,14,0.75,1.0,2,0.458333333,0.595238095,0,0,16.28571429,1,0.9286,1
280,10,3,0,13,42,7,1,12,9,0.638888889,0.5,0,0.72,0.28571428600000004,3,4,26.6,6,1.4,1
113,12,4,0,12,29,0,0,12,12,0.0,1.0,1,0.620689655,0.21969697,0,0,8.333333332999999,1,0.9167,1
15,12,1,3,35,13,66,32,3,12,2.0,0.0,0,0.0,0.875,0,0,0.25,1,0.9167,1
6,6,1,0,11,6,15,11,0,6,2.0,0.0,0,0.0,0.375,0,0,0.0,1,1.0,0
133,9,2,0,8,25,0,1,8,8,0.3125,0.0,2,0.6,0.222222222,2,4,13.55555556,4,1.2222,1
23,3,1,0,3,4,3,3,0,3,1.4375,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0
1,1,1,0,5,1,0,3,2,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
15,1,1,0,3,4,0,3,0,0,2.0,0.0,0,0.0,1.0,0,0,11.0,0,0.0,1
10,2,2,0,3,4,1,0,3,2,2.0,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,0
87,1,1,0,3,1,0,3,0,0,2.0,0.0,0,0.0,0.0,0,0,68.0,0,0.0,0
18,1,1,0,2,2,0,1,1,0,2.0,0.0,3,0.0,1.0,0,0,12.0,0,0.0,0
2855,36,1,0,5,52,282,1,4,7,0.720300752,0.210526316,1,0.0,0.405714286,0,0,77.77777778,102,7.0556,1
302,15,2,0,9,43,0,3,7,11,0.589285714,1.0,0,0.461538462,0.191666667,2,3,18.86666667,6,1.8,0
49,6,3,0,2,14,0,1,1,5,0.0,0.0,0,0.807692308,0.333333333,1,2,7.0,1,0.8333,0
380,5,4,0,2,18,0,1,1,4,0.55,0.4,1,0.8666666670000001,0.4,1,1,74.0,14,4.8,1
152,9,1,0,13,16,0,13,0,9,0.6,0.2,0,0.0,0.518518519,1,1,15.33333333,3,1.1111,1
409,9,2,0,10,32,0,1,9,7,0.545454545,1.0,2,0.5,0.28571428600000004,1,3,43.22222222,2,1.0,0
1039,18,1,0,21,93,0,1,21,0,0.7019607840000001,1.0,8,0.0,0.188888889,0,0,55.88888889,1,0.8889,1
1200,40,2,0,29,123,576,6,26,19,0.8838612370000001,0.470588235,8,0.591397849,0.136752137,1,5,28.575,26,1.75,1
44,2,1,0,0,5,1,0,0,0,1.0,0.0,0,0.0,1.0,0,0,17.0,0,0.0,0
9,2,5,0,3,4,1,2,1,1,2.0,0.0,0,0.875,0.666666667,1,1,3.5,1,0.5,0
13,2,4,0,2,4,1,1,1,1,2.0,0.0,0,0.857142857,0.666666667,1,1,5.5,2,1.0,0
102,4,1,0,2,18,6,2,0,3,2.0,0.0,0,0.0,0.25,0,0,24.5,2,1.0,0
83,9,1,0,7,10,2,7,0,8,0.666666667,0.666666667,1,0.0,0.5,1,1,7.888888888999999,5,1.1111,0
237,12,2,1,7,33,0,4,4,6,0.545454545,1.0,0,0.421052632,0.283333333,1,3,18.41666667,2,1.0,1
5,2,1,3,20,3,1,19,1,2,2.0,0.0,0,0.0,0.75,0,0,1.5,1,0.5,0
330,8,1,0,1,29,16,0,1,6,0.14285714300000002,1.0,0,0.0,0.314285714,0,0,40.125,8,2.5,0
10,2,2,0,4,4,1,1,3,2,2.0,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,0
54,7,2,0,3,10,21,3,1,7,2.0,0.0,0,0.7,0.5,1,2,6.714285714,1,0.8571,0
186,11,1,0,33,19,41,33,0,10,0.6333333329999999,1.0,0,0.0,0.309090909,0,0,15.63636364,4,1.4545,1
285,11,3,0,8,42,0,3,6,10,0.45,1.0,0,0.615384615,0.22077922100000005,2,2,24.72727273,7,1.7273,1
2830,52,1,1,30,129,888,1,29,32,0.873873874,0.648648649,11,0.0,0.132730015,0,0,52.71153846,23,2.6731,1
128,12,1,0,58,21,0,58,0,9,0.13636363599999998,0.0,0,0.0,0.291666667,1,1,9.5,4,1.1667,1
21,2,1,0,15,7,1,15,0,2,2.0,0.0,0,0.0,0.5,0,0,9.5,2,1.0,0
338,11,1,0,12,28,19,3,11,5,0.64,1.0,6,0.0,0.324675325,0,0,28.81818182,4,1.1818,1
188,8,3,0,5,21,4,2,3,7,0.35714285700000004,1.0,1,0.7777777779999999,0.270833333,1,2,22.25,5,1.25,1
63,3,3,0,3,10,1,1,2,3,0.5,1.0,0,0.75,0.666666667,0,0,19.0,1,0.3333,0
337,6,1,0,6,39,0,1,5,5,0.6,1.0,1,0.0,0.333333333,0,0,54.33333333,4,1.3333,1
176,13,3,0,6,30,0,1,6,11,0.4166666670000001,1.0,1,0.571428571,0.192307692,2,2,12.38461538,6,1.3077,0
275,12,1,10,13,13,0,13,0,8,0.454545455,1.0,0,0.0,0.444444444,0,0,21.66666667,7,2.0833,0
133,8,1,1,3,15,0,2,1,7,0.571428571,1.0,0,0.0,0.35,0,0,15.25,4,1.75,0
382,10,2,0,9,27,15,0,9,4,0.333333333,1.0,0,0.842105263,0.3375,1,6,37.1,1,0.9,1
1224,9,1,0,5,18,0,2,3,8,0.5,1.0,0,0.0,0.5,0,0,134.5555556,3,1.0,1
557,15,2,1,19,50,0,2,18,13,0.476190476,1.0,1,0.611111111,0.251851852,1,5,35.93333333,6,1.2667,1
218,13,3,0,6,31,0,1,6,11,0.375,1.0,2,0.571428571,0.208791209,2,2,15.61538462,6,1.3077,0
10,2,2,0,3,4,1,0,3,2,2.0,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,0
125,8,3,0,3,19,12,2,2,4,0.666666667,0.666666667,1,0.75,0.3,2,8,14.25,1,0.875,0
116,10,3,0,6,27,0,1,6,9,0.111111111,1.0,1,0.64,0.214285714,2,2,10.5,4,1.3,1
169,1,1,0,2,1,0,2,0,0,2.0,0.0,0,0.0,0.0,0,0,132.0,0,0.0,1
387,5,3,0,3,18,0,2,1,4,0.55,0.4,1,0.8666666670000001,0.4,1,1,75.4,14,4.8,0
118,5,2,0,6,20,0,1,6,5,0.375,1.0,1,0.2,0.4,1,1,22.2,2,1.0,1
461,16,1,0,8,34,62,2,6,3,0.686666667,1.0,6,0.0,0.28125,0,0,27.1875,4,1.1875,1
112,2,1,0,3,3,1,3,0,0,1.4,0.0,0,0.0,1.0,0,0,52.5,0,0.0,1
65,4,2,0,4,5,0,1,3,3,0.666666667,0.666666667,1,0.7777777779999999,0.476190476,0,0,14.5,4,2.0,1
57,4,2,0,2,13,0,0,2,4,0.166666667,1.0,1,0.4,0.5625,0,0,12.75,2,1.0,1
439,22,2,0,20,60,79,12,12,19,0.7428571429999999,1.0,0,0.387096774,0.119047619,2,6,18.72727273,12,1.7273,1
231,11,1,1,6,20,15,2,4,9,0.514285714,1.0,4,0.0,0.246753247,0,0,19.36363636,1,0.9091,0
247,6,3,0,5,20,5,1,4,5,0.825,0.0,1,0.7222222220000001,0.333333333,1,4,38.83333333,16,3.6667,0
23,3,3,0,6,7,3,1,5,2,2.0,0.0,0,0.9,0.5,1,1,6.666666667,2,1.0,1
8,8,1,0,19,8,28,17,2,8,2.0,0.0,0,0.0,0.3,0,0,0.0,1,1.0,0
32,1,1,0,6,2,0,6,0,0,2.0,0.0,0,0.0,1.0,0,0,24.0,0,0.0,1
938,26,2,1,13,80,53,6,8,18,0.854545455,0.818181818,0,0.314285714,0.29600000000000004,0,0,34.65384615,2,1.0,1
216,6,4,0,13,30,3,9,4,5,0.6,0.333333333,0,0.94047619,0.5,0,0,34.5,1,0.8333,1
404,17,2,0,12,55,12,3,10,13,0.625,1.0,0,0.428571429,0.158823529,2,4,22.52941176,7,2.0588,1
142,24,2,0,9,49,0,0,9,19,0.0,1.0,1,0.705128205,0.21875,1,5,4.875,1,0.9583,1
155,7,1,0,1,10,21,1,0,7,2.0,0.0,0,0.0,0.321428571,0,0,21.14285714,4,2.5714,0
141,5,2,0,6,20,0,1,5,5,0.5,1.0,2,0.5555555560000001,0.4,1,2,26.6,1,0.8,0
237,14,1,0,2,25,3,1,1,13,0.602564103,0.0,0,0.0,0.404761905,0,0,15.5,1,0.9286,0
130,4,1,0,0,18,0,0,0,3,1.166666667,0.5,0,0.0,0.333333333,0,0,30.0,6,2.5,0
319,5,1,0,10,36,2,1,9,0,0.625,1.0,3,0.0,0.333333333,0,0,62.0,1,0.8,1
514,14,3,0,5,29,53,1,4,6,0.692307692,1.0,1,0.541666667,0.333333333,1,4,34.92857143,14,2.2857,0
237,14,1,0,2,25,3,1,1,13,0.602564103,0.0,0,0.0,0.404761905,0,0,15.5,1,0.9286,0
288,10,2,1,6,34,1,3,4,8,0.46031746,1.0,1,0.5,0.5,1,3,27.1,1,0.8,1
48,2,3,0,5,10,1,0,5,2,1.0,1.0,0,0.972222222,0.75,0,0,22.5,1,0.5,0
58,6,1,2,16,14,13,16,0,5,0.8,0.0,0,0.0,0.6,0,0,8.5,1,0.6667,1
100,8,2,0,14,22,0,9,6,6,0.14285714300000002,1.0,1,0.6315789470000001,0.232142857,2,2,11.375,4,1.375,1
178,10,1,0,8,33,25,1,7,10,0.7222222220000001,1.0,2,0.0,0.228571429,0,0,16.4,1,0.9,1
48,2,1,0,2,9,1,1,1,2,2.0,0.0,0,0.0,0.666666667,0,0,23.0,6,3.0,0
601,26,2,0,15,56,0,1,14,17,0.668571429,1.0,1,0.696202532,0.174825175,1,5,21.84615385,6,1.3462,1
39,2,2,0,6,4,1,4,2,0,2.0,0.0,0,0.916666667,0.666666667,1,3,18.5,4,2.0,0
47,7,2,1,2,14,0,1,1,7,0.0,1.0,1,0.7,0.428571429,1,2,5.571428571,1,0.8571,0
23,3,1,0,4,4,3,4,0,3,1.4375,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0
89,7,2,0,8,18,9,3,6,6,0.5,1.0,1,0.666666667,0.265306122,2,3,11.57142857,5,1.5714,1
184,6,3,0,1,19,15,1,0,4,1.12,0.0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,0
434,11,2,0,4,25,0,1,3,7,0.65,1.0,0,0.444444444,0.287878788,1,3,38.09090909,6,1.5455,1
108,8,2,0,5,17,0,1,5,4,0.523809524,1.0,1,0.611111111,0.3,1,3,12.125,1,0.875,1
25,3,1,1,14,4,0,13,1,2,0.666666667,0.333333333,1,0.0,0.583333333,0,0,6.333333333,1,0.6667,0
241,11,1,0,4,25,0,1,3,6,0.52,1.0,1,0.0,0.242857143,0,0,20.45454545,3,1.4545,0
93,5,3,0,3,8,2,1,2,5,0.666666667,1.0,1,0.84,0.36,1,5,17.0,3,1.2,1
175,14,1,0,12,22,61,11,1,13,0.692307692,0.0,3,0.0,0.320512821,0,0,11.28571429,3,0.7143,0
100,5,1,0,8,6,0,8,0,0,0.125,0.0,0,0.0,0.55,0,0,18.2,1,0.4,0
1211,48,1,0,21,119,742,8,20,32,0.89106383,0.64,6,0.0,0.115277778,0,0,23.70833333,2,0.9792,1
179,7,2,0,4,16,0,1,3,6,0.333333333,1.0,2,0.571428571,0.476190476,1,3,24.14285714,1,0.8571,0
297,6,3,0,16,33,3,1,16,6,0.4,1.0,1,0.87804878,0.351851852,2,3,48.16666667,1,0.8333,0
126,8,1,0,1,25,22,1,0,6,0.428571429,1.0,0,0.0,0.17857142899999998,0,0,14.625,5,1.375,0
707,26,1,0,7,55,0,0,7,22,0.344,1.0,4,0.0,0.184615385,0,0,25.80769231,2,1.1538,1
10,10,1,0,3,10,45,3,0,10,2.0,0.0,0,0.0,0.6,0,0,0.0,1,1.0,0
297,15,1,0,9,22,0,8,1,14,0.8520408159999999,0.28571428600000004,3,0.0,0.380952381,0,0,17.86666667,7,0.8,0
70,3,3,0,11,13,1,1,10,3,2.0,0.0,0,0.666666667,0.533333333,1,3,22.33333333,2,1.3333,0
10,10,1,0,16,10,45,6,10,10,2.0,0.0,0,0.0,0.288888889,0,0,0.0,1,1.0,1
10,10,1,0,3,10,45,3,0,10,2.0,0.0,0,0.0,0.6,0,0,0.0,1,1.0,1
224,4,1,0,7,38,0,2,5,0,0.8888888890000001,0.5,3,0.0,0.375,0,0,53.5,2,1.0,1
3709,22,1,0,5,38,153,1,4,7,0.848484848,0.121212121,1,0.0,0.380952381,0,0,166.0909091,236,13.7727,1
103,9,2,2,7,14,8,5,2,6,0.5,1.0,2,0.384615385,0.4074074070000001,1,2,10.22222222,2,1.0,0
116,8,1,0,3,19,2,1,2,6,0.17857142899999998,1.0,2,0.0,0.34375,0,0,13.0,2,1.0,1
60,5,1,0,2,10,0,1,2,4,0.375,1.0,1,0.0,0.6,0,0,10.6,2,1.2,0
5,5,1,0,15,5,10,15,0,5,2.0,0.0,0,0.0,0.6,0,0,0.0,1,1.0,0
257,16,2,0,10,41,10,2,9,15,0.133333333,0.0,0,0.5,0.375,0,0,15.0,2,0.875,1
131,23,1,3,34,28,247,24,13,22,0.909090909,1.0,1,0.0,0.273913043,0,0,4.652173913,1,0.9565,1
108,5,1,0,7,14,0,3,4,0,0.75,0.333333333,4,0.0,0.4,0,0,19.4,5,1.6,0
38,1,1,0,3,2,0,1,2,0,2.0,0.0,2,0.0,1.0,0,0,33.0,0,0.0,0
204,9,2,3,4,14,0,3,1,6,0.575,0.8,0,0.6190476189999999,0.4166666670000001,1,4,21.11111111,2,1.0,1
35,2,3,0,4,6,0,0,4,2,0.0,1.0,1,0.75,0.75,0,0,16.0,1,0.5,0
184,6,3,0,2,19,15,2,0,4,1.12,0.0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,0
724,57,1,4,80,108,1504,66,16,43,0.867346939,1.0,3,0.0,0.115288221,0,0,11.57894737,12,1.1754,1
354,13,2,0,9,38,0,3,6,4,0.75,0.571428571,6,0.294117647,0.211538462,1,2,25.15384615,1,0.9231,1
313,10,2,0,5,24,0,0,5,10,0.444444444,1.0,0,0.571428571,0.3,2,3,29.8,13,3.1,0
37,2,2,0,5,4,1,3,2,0,2.0,0.0,0,0.916666667,0.666666667,1,3,17.5,4,2.0,1
102,5,2,0,2,16,0,0,2,5,0.5,1.0,1,0.2,0.4,1,1,19.0,2,1.0,1
41,2,3,0,3,6,0,0,3,2,0.0,0.0,0,0.75,0.666666667,0,0,18.5,1,0.5,0
648,9,1,0,8,36,8,1,7,0,0.625,1.0,4,0.0,0.24691358,0,0,70.22222222,4,1.2222,1
107,10,1,0,7,18,0,6,2,10,0.333333333,1.0,2,0.0,0.375,1,1,9.5,4,1.4,1
341,14,1,0,23,35,0,22,1,14,0.5,0.5,0,0.0,0.428571429,0,0,23.21428571,5,2.5714,1
16,1,1,0,5,2,0,4,1,1,2.0,0.0,1,0.0,1.0,0,0,12.0,0,0.0,1
383,6,1,0,8,29,0,2,6,0,0.436363636,0.727272727,5,0.0,0.4791666670000001,0,0,61.0,1,0.6667,1
134,7,2,2,10,27,1,2,8,6,0.333333333,1.0,1,0.666666667,0.342857143,2,3,18.0,5,1.5714,0
1174,27,1,0,1,43,13,1,0,13,0.600961538,1.0,0,0.0,0.25308642,0,0,42.18518519,26,5.7407,0
6,6,1,0,40,6,15,37,4,6,2.0,0.0,0,0.0,0.4166666670000001,0,0,0.0,1,1.0,0
36,2,1,0,2,5,1,2,0,1,2.0,0.0,0,0.0,0.5,0,0,17.0,4,2.0,0
91,16,1,2,42,25,108,40,4,15,0.8666666670000001,1.0,1,0.0,0.185185185,0,0,4.5625,1,0.875,1
201,7,2,0,6,25,0,1,5,5,0.520833333,1.0,2,0.571428571,0.30952381,1,3,26.57142857,1,0.8571,1
523,15,3,0,9,29,15,1,8,11,0.6,0.7,3,0.214285714,0.28571428600000004,1,1,33.2,10,1.7333,0
7,3,1,2,19,4,3,18,1,3,2.0,0.0,0,0.0,1.0,0,0,1.333333333,1,0.6667,1
726,23,1,0,9,34,93,6,3,22,0.704545455,1.0,0,0.0,0.198067633,0,0,30.04347826,17,1.8261,1
31,6,2,0,4,10,15,1,3,6,2.0,0.0,0,0.615384615,0.666666667,1,3,4.166666667,1,0.8333,0
278,10,1,0,4,37,0,0,4,9,0.388888889,1.0,0,0.0,0.34,0,0,26.6,5,1.6,0
113,6,2,0,4,15,0,1,3,6,0.466666667,1.0,2,0.615384615,0.5,1,3,17.33333333,1,0.8333,0
563,22,1,0,6,52,95,3,6,7,0.7489177490000001,1.0,5,0.0,0.194805195,0,0,24.09090909,5,1.5,1
348,7,1,0,11,37,0,1,11,7,0.69047619,1.0,2,0.0,0.30952381,0,0,47.71428571,1,0.8571,1
47,9,1,15,33,11,34,30,3,7,0.875,1.0,1,0.0,0.4166666670000001,0,0,4.1111111110000005,1,0.8889,0
11,1,2,0,14,2,0,11,3,0,2.0,0.0,1,1.0,1.0,0,0,9.0,0,0.0,0
47,3,2,0,5,9,3,2,3,0,2.0,0.0,0,0.846153846,0.5555555560000001,1,3,14.66666667,4,1.6667,0
21,2,3,0,4,5,1,1,3,2,2.0,0.0,0,0.75,0.75,0,0,9.5,1,0.5,0
990,10,1,0,18,87,0,1,18,0,0.7008547009999999,1.0,5,0.0,0.254545455,0,0,96.7,10,2.4,1
249,13,1,13,45,39,72,42,7,12,0.833333333,1.0,0,0.0,0.230769231,0,0,18.07692308,9,1.8462,0
88,6,1,5,5,18,5,5,0,1,0.6,0.5,0,0.0,0.7,0,0,13.33333333,1,0.5,0
274,5,2,0,6,21,0,3,3,0,0.375,0.0,1,0.7333333329999999,0.5,1,3,53.4,18,5.0,0
16,9,1,0,7,10,36,3,6,8,1.0625,0.0,1,0.0,0.5625,0,0,0.5555555560000001,1,0.8889,0
27,3,1,0,0,8,3,0,0,1,1.0,0.0,0,0.0,0.333333333,0,0,7.666666667,2,1.0,0
449,20,2,0,15,52,86,5,14,9,0.669172932,1.0,3,0.32,0.223684211,1,3,21.1,6,1.75,1
14,5,2,5,15,7,10,10,6,4,2.0,0.0,0,0.75,0.466666667,1,1,1.8,1,0.8,0
318,14,2,0,6,38,0,1,6,11,0.384615385,1.0,0,0.5,0.171428571,2,5,21.57142857,6,1.5714,1
12,1,1,1,19,2,0,19,0,1,2.0,0.0,0,0.0,1.0,0,0,9.0,0,0.0,0
8,3,1,6,13,4,3,12,1,3,2.0,0.0,0,0.0,0.666666667,0,0,1.666666667,1,0.6667,0
175,9,2,2,3,11,8,2,1,8,0.5,0.75,0,0.6190476189999999,0.333333333,1,3,18.0,1,0.8889,1
21,3,1,0,6,7,3,3,5,2,2.0,0.0,0,0.0,0.666666667,0,0,6.0,1,0.6667,0
21,6,1,5,25,8,15,24,1,6,2.0,0.0,0,0.0,0.583333333,0,0,2.5,1,0.8333,0
2,2,1,0,4,2,1,2,2,2,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
814,16,1,0,11,68,8,3,9,4,0.683333333,1.0,2,0.0,0.236111111,0,0,49.375,2,1.0,1
48,2,3,0,5,10,1,0,5,2,1.0,1.0,0,0.977272727,0.75,1,2,22.5,1,0.5,1
20,3,3,0,4,7,3,0,4,3,2.0,0.0,0,0.7142857140000001,0.5555555560000001,2,3,5.666666667,1,0.6667,0
